GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.4_1,Kochere Gedeb
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.11_1,Gedeo,ETH.10.11.5_1,Wenago
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.4_1,Enemorina Eaner
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.5_1,Ezha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.2_1,Cheha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.3_1,Endiguagn
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Debub Omo,ETH.10.8.6_1,Hamer
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Debub Omo,ETH.10.8.7_1,Male
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Debub Omo,ETH.10.8.4_1,Gelila
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Debub Omo,ETH.10.8.5_1,Gnangatom
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.1_1,Arba Minch Zuria
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.2_1,Ayida
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.8_1,Debub Omo,ETH.10.8.8_1,Selamgo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.9_1,Derashe,ETH.10.9.1_1,Derashe
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.5_1,Chencha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.6_1,Daramalo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.3_1,Bonke
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.4_1,Boreda
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.9_1,Geze Gofa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.10_1,Kemba
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.7_1,Denibu Gofa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.10_1,Gamo Gofa,ETH.10.10.8_1,Dita
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.1_1,Bita
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.2_1,Chena
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.9_1,Shashogo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.13_1,Hadiya,ETH.10.13.10_1,Soro
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.5_1,Gesha (Deka)
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.6_1,Getawa
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.3_1,Cheta
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.4_1,Decha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.9_1,Sayilem
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.10_1,Tulo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.7_1,Gimbo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.14_1,Keffa,ETH.10.14.8_1,Menjiwo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.3_1,Doya Gena
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.4_1,Hadero Tubito
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.1_1,Anigacha
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.15_1,Kembata Tembaro,ETH.10.15.2_1,Daniboya
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.8_1,Kebena
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.9_1,Kokir Gedbano
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.6_1,Geta
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.7_1,Gumer
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.12_1,Muhur Na Aklil
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.13_1,Sodo
ETH,Ethiopia,ETH.10_1,"Southern Nations, Nationalities and Peoples",ETH.10.12_1,Gurage,ETH.10.12.10_1,Mareko
